Capability ID,Capability Name,Domain,Primary Persona,Concrete Product Job,Operating Mode,Primary UI Screens,Primary Backend Modules,Owned/Referenced Data Objects,Commands,Queries,API Endpoint Family,Domain Events,Rules / Guards,Tenant / RLS Requirement,Audit Evidence,Error Codes,Incident Types,Acceptance Criteria,Required Test Cases,Cursor Prompt ID,Implementation Slice,Source Truth,Gap Status v1.0
B-011,Content Management / Delivery,Content,Coach + Client,"Manage content assets, collections and canonical/coach-owned composition",tenant_runtime,CS-010|CS-011|CL-009|CL-006|OPS-006,Content Composition,content_space|content_collection|content_item|canonical_ref_binding,bind_canonical_ref|compose_content,get/list/search relevant resources with tenant_id and actor_ref guards,/content-spaces,"content.item_created, content.canonical_ref_bound",Canonical refs validated; coach-owned content non-authoritative; deny-by-default; tenant_id required; audit on privileged action,Every row with tenant-owned data carries tenant_id; support/admin reads require scoped audited support_session_ref; client rows must bind actor_ref/client_ref.,canonical_binding|policy_decision_logged|correlation_id_required,PB_ERR_TENANT_SCOPE_DENIED|PB_ERR_AUTH_REQUIRED|PB_ERR_PUBLISH_VALIDATION_FAILED|PB_ERR_CANONICAL_REF_INVALID,INC_AUDITABLE_SUPPORT_CASE,"B-011 supports tenant-scoped happy path for Content Management / Delivery || unauthorized actor is denied before mutation || forbidden cross-tenant access returns forbidden state and audit event || successful mutation emits expected domain event when applicable || UI exposes loading, empty, error, forbidden and success states || contract tests cover primary API endpoint and validation errors",Invalid ref publish block|tenant_isolation|forbidden_state|audit_event|contract_validation|screen_state_render,PB-CURSOR-005,MVP-S1,Product Model Freeze|Feature Catalog|Tenant Blueprint|Enterprise Architecture Design Bundle v0.2|Closure Plan v0.3,CLOSED_FOR_G1_G4__REQUIRES_G5_G14_RECONCILIATION
B-012,Assignment / Enrollment,Enrollment,Coach,Assign published journeys to clients/cohorts and start enrollment,tenant_runtime,CS-005|CS-012|CS-013|CL-004|OPS-003,Assignment Enrollment,assignment|enrollment|enrollment_status,assign_journey|start_enrollment,get/list/search relevant resources with tenant_id and actor_ref guards,/assignments,"journey.assigned, enrollment.started",Published version + Core access allow required; deny-by-default; tenant_id required; audit on privileged action,Every row with tenant-owned data carries tenant_id; support/admin reads require scoped audited support_session_ref; client rows must bind actor_ref/client_ref.,assignment_created|policy_decision_logged|correlation_id_required,PB_ERR_TENANT_SCOPE_DENIED|PB_ERR_AUTH_REQUIRED|PB_ERR_ENTITLEMENT_DENIED|PB_ERR_ACCESS_REVOKED,INC_ENROLLMENT_DESYNC|INC_ACCESS_DECISION_MISMATCH,"B-012 supports tenant-scoped happy path for Assignment / Enrollment || unauthorized actor is denied before mutation || forbidden cross-tenant access returns forbidden state and audit event || successful mutation emits expected domain event when applicable || UI exposes loading, empty, error, forbidden and success states || contract tests cover primary API endpoint and validation errors",No draft/no Core allow activation|tenant_isolation|forbidden_state|audit_event|contract_validation|screen_state_render,PB-CURSOR-006,MVP-S1,Product Model Freeze|Feature Catalog|Tenant Blueprint|Enterprise Architecture Design Bundle v0.2|Closure Plan v0.3,CLOSED_FOR_G1_G4__REQUIRES_G5_G14_RECONCILIATION
B-013,Progress / Next Step,Delivery/Progress,Client + Coach,Show next step/progress and record completion/reflection,tenant_runtime,CL-004|CL-006|CL-007|CL-008|CS-018,Delivery + Reflection,step_completion|reflection_entry|progress_projection,complete_step|submit_reflection,get/list/search relevant resources with tenant_id and actor_ref guards,/progress,"task.completed, reflection.submitted",Only available steps complete; privacy visibility honored; deny-by-default; tenant_id required; audit on privileged action,Every row with tenant-owned data carries tenant_id; support/admin reads require scoped audited support_session_ref; client rows must bind actor_ref/client_ref.,reflection_submitted|policy_decision_logged|correlation_id_required,PB_ERR_TENANT_SCOPE_DENIED|PB_ERR_AUTH_REQUIRED|PB_ERR_ENTITLEMENT_DENIED|PB_ERR_ACCESS_REVOKED,INC_ENROLLMENT_DESYNC|INC_ACCESS_DECISION_MISMATCH,"B-013 supports tenant-scoped happy path for Progress / Next Step || unauthorized actor is denied before mutation || forbidden cross-tenant access returns forbidden state and audit event || successful mutation emits expected domain event when applicable || UI exposes loading, empty, error, forbidden and success states || contract tests cover primary API endpoint and validation errors",Hidden reflection not visible to coach|tenant_isolation|forbidden_state|audit_event|contract_validation|screen_state_render,PB-CURSOR-007,MVP-S1,Product Model Freeze|Feature Catalog|Tenant Blueprint|Enterprise Architecture Design Bundle v0.2|Closure Plan v0.3,CLOSED_FOR_G1_G4__REQUIRES_G5_G14_RECONCILIATION
B-014,Notifications,Engagement,Client + Coach,Tenant/coach schedules reminders/nudges/pushes,tenant_runtime,ADM-007|CL-015|OPS-008|OPS-009,Notification Orchestration,notification_template|schedule|delivery_attempt,schedule_notification|send_push,get/list/search relevant resources with tenant_id and actor_ref guards,/notifications,"notification.scheduled, notification.sent",No push without consent/preference; deny-by-default; tenant_id required; audit on privileged action,Every row with tenant-owned data carries tenant_id; support/admin reads require scoped audited support_session_ref; client rows must bind actor_ref/client_ref.,notification_suppressed|policy_decision_logged|correlation_id_required,PB_ERR_TENANT_SCOPE_DENIED|PB_ERR_AUTH_REQUIRED|PB_ERR_ENTITLEMENT_DENIED|PB_ERR_ACCESS_REVOKED,INC_NOTIFICATION_DELIVERY_FAILURE,"B-014 supports tenant-scoped happy path for Notifications || unauthorized actor is denied before mutation || forbidden cross-tenant access returns forbidden state and audit event || successful mutation emits expected domain event when applicable || UI exposes loading, empty, error, forbidden and success states || contract tests cover primary API endpoint and validation errors",No consent no send|tenant_isolation|forbidden_state|audit_event|contract_validation|screen_state_render,PB-CURSOR-008,MVP-S2,Product Model Freeze|Feature Catalog|Tenant Blueprint|Enterprise Architecture Design Bundle v0.2|Closure Plan v0.3,CLOSED_FOR_G1_G4__REQUIRES_G5_G14_RECONCILIATION
B-015,Messaging / Coach Messages,Engagement,Client + Coach,Coach sends messages/interventions to clients,tenant_runtime,CS-014|CL-010|CS-015|OPS-006,Messaging Intervention,message_thread|message|intervention_note,send_message|create_intervention,get/list/search relevant resources with tenant_id and actor_ref guards,/messages,"message.sent, intervention.created",Same tenant + active access only; deny-by-default; tenant_id required; audit on privileged action,Every row with tenant-owned data carries tenant_id; support/admin reads require scoped audited support_session_ref; client rows must bind actor_ref/client_ref.,message_sent|policy_decision_logged|correlation_id_required,PB_ERR_TENANT_SCOPE_DENIED|PB_ERR_AUTH_REQUIRED|PB_ERR_ENTITLEMENT_DENIED|PB_ERR_ACCESS_REVOKED,INC_AUDITABLE_SUPPORT_CASE,"B-015 supports tenant-scoped happy path for Messaging / Coach Messages || unauthorized actor is denied before mutation || forbidden cross-tenant access returns forbidden state and audit event || successful mutation emits expected domain event when applicable || UI exposes loading, empty, error, forbidden and success states || contract tests cover primary API endpoint and validation errors",Revoked client cannot receive new message|tenant_isolation|forbidden_state|audit_event|contract_validation|screen_state_render,PB-CURSOR-009,MVP-S2,Product Model Freeze|Feature Catalog|Tenant Blueprint|Enterprise Architecture Design Bundle v0.2|Closure Plan v0.3,CLOSED_FOR_G1_G4__REQUIRES_G5_G14_RECONCILIATION
B-016,Community / Moderation,Community,Client + Coach + Moderator,Tenant spaces/forum/groups/challenges with moderation,tenant_runtime,ADM-008|CL-011|CS-016|OPS-009,Community Moderation,community_space|post|comment|report|moderation_action,create_post|moderate_content,get/list/search relevant resources with tenant_id and actor_ref guards,/community,"community.post_created, moderation.actioned","Tenant-scoped, entitlement-gated, moderated; deny-by-default; tenant_id required; audit on privileged action",Every row with tenant-owned data carries tenant_id; support/admin reads require scoped audited support_session_ref; client rows must bind actor_ref/client_ref.,moderation_action|policy_decision_logged|correlation_id_required,PB_ERR_TENANT_SCOPE_DENIED|PB_ERR_AUTH_REQUIRED|PB_ERR_COMMUNITY_MODERATION_REQUIRED|PB_ERR_POST_FORBIDDEN,INC_COMMUNITY_ABUSE|INC_MODERATION_ESCALATION,"B-016 supports tenant-scoped happy path for Community / Moderation || unauthorized actor is denied before mutation || forbidden cross-tenant access returns forbidden state and audit event || successful mutation emits expected domain event when applicable || UI exposes loading, empty, error, forbidden and success states || contract tests cover primary API endpoint and validation errors",Cross-tenant feed denied|tenant_isolation|forbidden_state|audit_event|contract_validation|screen_state_render,PB-CURSOR-010,MVP-S2,Product Model Freeze|Feature Catalog|Tenant Blueprint|Enterprise Architecture Design Bundle v0.2|Closure Plan v0.3,CLOSED_FOR_G1_G4__REQUIRES_G5_G14_RECONCILIATION
B-017,Offers / Plans / Bundles / Tiers,Commerce,Coach + Prospect,Define plans/packages and gated access,first_party|white_label|hybrid,ADM-009|CS-017|PUB-004|OPS-004,Commercial Overlay,plan|bundle|offer|entitlement_activation_ref,create_offer|create_plan,get/list/search relevant resources with tenant_id and actor_ref guards,/offers,"offer.created, entitlement.changed_requested",Commerce downstream of eligibility/payment/agreement; deny-by-default; tenant_id required; audit on privileged action,Every row with tenant-owned data carries tenant_id; support/admin reads require scoped audited support_session_ref; client rows must bind actor_ref/client_ref.,offer_change|policy_decision_logged|correlation_id_required,PB_ERR_TENANT_SCOPE_DENIED|PB_ERR_AUTH_REQUIRED|PB_ERR_PAYMENT_REQUIRED|PB_ERR_AGREEMENT_REQUIRED|PB_ERR_PROVIDER_SYNC_FAILED,INC_AUDITABLE_SUPPORT_CASE,"B-017 supports tenant-scoped happy path for Offers / Plans / Bundles / Tiers || unauthorized actor is denied before mutation || forbidden cross-tenant access returns forbidden state and audit event || successful mutation emits expected domain event when applicable || UI exposes loading, empty, error, forbidden and success states || contract tests cover primary API endpoint and validation errors",No paid access before gates|tenant_isolation|forbidden_state|audit_event|contract_validation|screen_state_render,PB-CURSOR-011,MVP-S1,Product Model Freeze|Feature Catalog|Tenant Blueprint|Enterprise Architecture Design Bundle v0.2|Closure Plan v0.3,CLOSED_FOR_G1_G4__REQUIRES_G5_G14_RECONCILIATION
B-018,Coach Mobile Surface,Coach Mobile,Coach,Optional mobile coach operations surface,tenant_runtime,CSM-001|CSM-002|CS-014|CS-018,Coach Mobile Adapter,coach_inbox_projection|client_summary_projection,acknowledge_risk|send_quick_message,get/list/search relevant resources with tenant_id and actor_ref guards,/coach/mobile-home,coach.mobile_action_recorded,No privileged admin outside web unless approved; deny-by-default; tenant_id required; audit on privileged action,Every row with tenant-owned data carries tenant_id; support/admin reads require scoped audited support_session_ref; client rows must bind actor_ref/client_ref.,coach_action_audit|policy_decision_logged|correlation_id_required,PB_ERR_TENANT_SCOPE_DENIED|PB_ERR_AUTH_REQUIRED,INC_AUDITABLE_SUPPORT_CASE,"B-018 supports tenant-scoped happy path for Coach Mobile Surface || unauthorized actor is denied before mutation || forbidden cross-tenant access returns forbidden state and audit event || successful mutation emits expected domain event when applicable || UI exposes loading, empty, error, forbidden and success states || contract tests cover primary API endpoint and validation errors",Mobile cannot bypass web permissions|tenant_isolation|forbidden_state|audit_event|contract_validation|screen_state_render,PB-CURSOR-013,LATER,Product Model Freeze|Feature Catalog|Tenant Blueprint|Enterprise Architecture Design Bundle v0.2|Closure Plan v0.3,CLOSED_FOR_G1_G4__REQUIRES_G5_G14_RECONCILIATION
B-019,Lead / Prospect CRM,CRM,Prospect + Coach,Capture and manage prospects before paid engagement,tenant_runtime,PUB-002|CS-002|CS-003,Commercial CRM,lead|prospect,create_lead|update_lead,get/list/search relevant resources with tenant_id and actor_ref guards,/leads,lead.created,Tenant owns lead data; consent for marketing; deny-by-default; tenant_id required; audit on privileged action,Every row with tenant-owned data carries tenant_id; support/admin reads require scoped audited support_session_ref; client rows must bind actor_ref/client_ref.,lead_created|policy_decision_logged|correlation_id_required,PB_ERR_TENANT_SCOPE_DENIED|PB_ERR_AUTH_REQUIRED|PB_ERR_PAYMENT_REQUIRED|PB_ERR_AGREEMENT_REQUIRED|PB_ERR_PROVIDER_SYNC_FAILED,INC_AUDITABLE_SUPPORT_CASE,"B-019 supports tenant-scoped happy path for Lead / Prospect CRM || unauthorized actor is denied before mutation || forbidden cross-tenant access returns forbidden state and audit event || successful mutation emits expected domain event when applicable || UI exposes loading, empty, error, forbidden and success states || contract tests cover primary API endpoint and validation errors",Lead belongs to tenant|tenant_isolation|forbidden_state|audit_event|contract_validation|screen_state_render,PB-CURSOR-012,MVP-S0,Product Model Freeze|Feature Catalog|Tenant Blueprint|Enterprise Architecture Design Bundle v0.2|Closure Plan v0.3,CLOSED_FOR_G1_G4__REQUIRES_G5_G14_RECONCILIATION
B-020,Sales Pipeline,CRM,Coach,Track prospect movement through pipeline,tenant_runtime,CS-003|CS-002|CS-018,Sales Pipeline,pipeline_stage|pipeline_transition,move_pipeline_stage,get/list/search relevant resources with tenant_id and actor_ref guards,/pipeline,pipeline.stage_changed,Allowed transitions only; deny-by-default; tenant_id required; audit on privileged action,Every row with tenant-owned data carries tenant_id; support/admin reads require scoped audited support_session_ref; client rows must bind actor_ref/client_ref.,pipeline_transition|policy_decision_logged|correlation_id_required,PB_ERR_TENANT_SCOPE_DENIED|PB_ERR_AUTH_REQUIRED|PB_ERR_PAYMENT_REQUIRED|PB_ERR_AGREEMENT_REQUIRED|PB_ERR_PROVIDER_SYNC_FAILED,INC_AUDITABLE_SUPPORT_CASE,"B-020 supports tenant-scoped happy path for Sales Pipeline || unauthorized actor is denied before mutation || forbidden cross-tenant access returns forbidden state and audit event || successful mutation emits expected domain event when applicable || UI exposes loading, empty, error, forbidden and success states || contract tests cover primary API endpoint and validation errors",Illegal transition denied|tenant_isolation|forbidden_state|audit_event|contract_validation|screen_state_render,PB-CURSOR-012,MVP-S0,Product Model Freeze|Feature Catalog|Tenant Blueprint|Enterprise Architecture Design Bundle v0.2|Closure Plan v0.3,CLOSED_FOR_G1_G4__REQUIRES_G5_G14_RECONCILIATION
