Capability ID,Capability Name,API Family Requested,API Coverage,Event Family Requested,Event Coverage,Data Objects Requested,Data Coverage,Runtime/Guard Coverage,Reconciliation Status,Required Patch / Action
B-015,Messaging / Coach Messages,/messages,MATCH:/project-b/v1/tenants/{tenant_id}/messages,"message.sent, intervention.created","MATCH:project_b.message.sent.v1,project_b.intervention.created.v1",message_thread|message|intervention_note,"MATCH:message_threads,message_threads,intervention_notes",MATCH:runtime_guard_policy_matrix,PASS,No patch required; verify in contract tests.
B-016,Community / Moderation,/community,MATCH:/project-b/v1/tenants/{tenant_id}/community/posts,"community.post_created, moderation.actioned",PATCH_REQUIRED,community_space|post|comment|report|moderation_action,"MATCH:community_spaces,community_posts,community_comments,content_reports,moderation_actions",MATCH:runtime_guard_policy_matrix,PATCH_REQUIRED,"Add or align missing OpenAPI endpoint, event schema, table/object mapping or runtime guard."
B-017,Offers / Plans / Bundles / Tiers,/offers,MATCH:/project-b/v1/tenants/{tenant_id}/offers,"offer.created, entitlement.changed_requested",MATCH:project_b.offer.created.v1,plan|bundle|offer|entitlement_activation_ref,"MATCH:delivery_plans,offers",MATCH:runtime_guard_policy_matrix,PASS,No patch required; verify in contract tests.
B-018,Coach Mobile Surface,/coach/mobile-home,MATCH:/project-b/v1/tenants/{tenant_id}/dashboards/coach,coach.mobile_action_recorded,PATCH_REQUIRED,coach_inbox_projection|client_summary_projection,PATCH_REQUIRED,MATCH:runtime_guard_policy_matrix,PATCH_REQUIRED,"Add or align missing OpenAPI endpoint, event schema, table/object mapping or runtime guard."
B-019,Lead / Prospect CRM,/leads,MATCH:/project-b/v1/tenants/{tenant_id}/leads,lead.created,MATCH:project_b.lead.created.v1,lead|prospect,"MATCH:leads,prospects",MATCH:runtime_guard_policy_matrix,PASS,No patch required; verify in contract tests.
B-020,Sales Pipeline,/pipeline,PATCH_REQUIRED,pipeline.stage_changed,PATCH_REQUIRED,pipeline_stage|pipeline_transition,MATCH:pipeline_stages,MATCH:runtime_guard_policy_matrix,PATCH_REQUIRED,"Add or align missing OpenAPI endpoint, event schema, table/object mapping or runtime guard."
B-021,Discovery Call Booking,/booking-requests,PATCH_REQUIRED,discovery_call.booked,MATCH:project_b.discovery_call.booked.v1,booking_request|discovery_call,"MATCH:booking_requests,discovery_calls",MATCH:runtime_guard_policy_matrix,PATCH_REQUIRED,"Add or align missing OpenAPI endpoint, event schema, table/object mapping or runtime guard."
B-022,Checkout / Payment,/checkout-sessions,MATCH:/project-b/v1/tenants/{tenant_id}/offers/{offer_id}/checkout-sessions,"checkout.started, payment.confirmed",MATCH:project_b.checkout.started.v1,checkout_session|payment_record_ref,"MATCH:checkout_sessions,payment_records",MATCH:runtime_guard_policy_matrix,PASS,No patch required; verify in contract tests.
B-023,Agreement / Contract Status,/agreements,PATCH_REQUIRED,agreement.signed,MATCH:project_b.agreement.signed.v1,agreement_status|agreement_record_ref,MATCH:agreement_statuses,MATCH:runtime_guard_policy_matrix,PATCH_REQUIRED,"Add or align missing OpenAPI endpoint, event schema, table/object mapping or runtime guard."
B-024,Client Lifecycle Timeline,/client-lifecycle,PATCH_REQUIRED,client.lifecycle_event_recorded,PATCH_REQUIRED,client_lifecycle_event,PATCH_REQUIRED,MATCH:runtime_guard_policy_matrix,PATCH_REQUIRED,"Add or align missing OpenAPI endpoint, event schema, table/object mapping or runtime guard."
B-025,Renewal / Upsell Trigger,/renewals,PATCH_REQUIRED,renewal.triggered,PATCH_REQUIRED,renewal_trigger,PATCH_REQUIRED,MATCH:runtime_guard_policy_matrix,PATCH_REQUIRED,"Add or align missing OpenAPI endpoint, event schema, table/object mapping or runtime guard."
B-026,Calendar Integration,/calendar-integrations,PATCH_REQUIRED,calendar.export_requested,PATCH_REQUIRED,calendar_connection|calendar_event_ref,PATCH_REQUIRED,MATCH:runtime_guard_policy_matrix,PATCH_REQUIRED,"Add or align missing OpenAPI endpoint, event schema, table/object mapping or runtime guard."
B-027,Business Metrics Dashboard,/analytics/business,MATCH:/project-b/v1/tenants/{tenant_id}/analytics/revenue,analytics.metrics_rebuilt,PATCH_REQUIRED,revenue_metric_projection|pipeline_metric,MATCH:revenue_metric_projections,MATCH:runtime_guard_policy_matrix,PATCH_REQUIRED,"Add or align missing OpenAPI endpoint, event schema, table/object mapping or runtime guard."
B-028,Drop-off / Client Risk Signal,/analytics/risk-signals,MATCH:/project-b/v1/tenants/{tenant_id}/analytics/revenue,client.risk_signal_detected,PATCH_REQUIRED,client_risk_signal,MATCH:risk_signals,MATCH:runtime_guard_policy_matrix,PATCH_REQUIRED,"Add or align missing OpenAPI endpoint, event schema, table/object mapping or runtime guard."
B-029,Revenue Reporting,/analytics/revenue,MATCH:/project-b/v1/tenants/{tenant_id}/analytics/revenue,revenue.report_generated,PATCH_REQUIRED,revenue_report_projection,PATCH_REQUIRED,MATCH:runtime_guard_policy_matrix,PATCH_REQUIRED,"Add or align missing OpenAPI endpoint, event schema, table/object mapping or runtime guard."
