Screen ID,Surface,Screen Name,Purpose,Allowed Roles,Primary Data Objects,Primary API / Source,Security Constraint,Audit / Telemetry,Loading State,Empty State,Error State,Forbidden State,Success State,Incident Hooks
OPS-011,Platform Ops,Journey Version Inspector,"Inspect published journey version, publication status and canonical refs","Coach,Support Operator","journey_version, canonical_ref_binding",/journeys/versions/{journey_version_id},coach tenant scope; support session for ops,journey_version_inspected,Skeleton + provider status; no stale cross-tenant data,Explain missing operational data and next action,Safe error with correlation_id + privileged detail drawer,Forbidden without disclosing resource existence,"Action confirmed, projection refreshed, audit linked",INC_JOURNEY_VERSION_INSPECTOR
OPS-012,Platform Ops,Canonical Ref Validation Queue,"Surface invalid, restricted, deprecated and replaced canonical refs","Coach,Support Operator",canonical_validation_result_cache,/canonical/ref-validations:batch,DB/Canonical remains source of truth,canonical_validation_reviewed,Skeleton + provider status; no stale cross-tenant data,Explain missing operational data and next action,Safe error with correlation_id + privileged detail drawer,Forbidden without disclosing resource existence,"Action confirmed, projection refreshed, audit linked",INC_CANONICAL_REF_VALIDATION_QUEUE
OPS-013,Platform Ops,Client Timeline Inspector,View client lifecycle events without exposing unrelated tenant/member data,"Coach,Support Operator","client_ref, lifecycle_event, enrollment",/clients/{client_id}/assignments,tenant and role scoped,client_timeline_viewed,Skeleton + provider status; no stale cross-tenant data,Explain missing operational data and next action,Safe error with correlation_id + privileged detail drawer,Forbidden without disclosing resource existence,"Action confirmed, projection refreshed, audit linked",INC_CLIENT_TIMELINE_INSPECTOR
OPS-014,Platform Ops,Assignment / Enrollment Inspector,Inspect assignment/enrollment state and activation blockers,"Coach,Support Operator","assignment, enrollment, access_request",/enrollments/{enrollment_id},coach/admin access required,enrollment_inspected,Skeleton + provider status; no stale cross-tenant data,Explain missing operational data and next action,Safe error with correlation_id + privileged detail drawer,Forbidden without disclosing resource existence,"Action confirmed, projection refreshed, audit linked",INC_ASSIGNMENT_ENROLLMENT_INSPECTOR
OPS-015,Platform Ops,Member Home Projection Inspector,"Inspect member home card composition, projection timestamp and stale reasons",Support Operator,"member_home_projection, next_action_card",/members/{member_id}/home,read-only; no direct user data mutation,projection_inspected,Skeleton + provider status; no stale cross-tenant data,Explain missing operational data and next action,Safe error with correlation_id + privileged detail drawer,Forbidden without disclosing resource existence,"Action confirmed, projection refreshed, audit linked",INC_MEMBER_HOME_PROJECTION_INSPECTOR
OPS-016,Platform Ops,Progress / Reflection Inspector,Inspect progress and reflection visibility with privacy policy flags,"Coach,Support Operator","progress_projection, reflection_entry",/enrollments/{enrollment_id}/progress,privacy visibility guard,reflection_inspected,Skeleton + provider status; no stale cross-tenant data,Explain missing operational data and next action,Safe error with correlation_id + privileged detail drawer,Forbidden without disclosing resource existence,"Action confirmed, projection refreshed, audit linked",INC_PROGRESS_REFLECTION_INSPECTOR
OPS-017,Platform Ops,Message / Intervention Audit,Review message/intervention metadata and delivery state,"Coach,Support Operator","message_thread, message, intervention_note",/message-threads;/interventions,content visibility role gated,message_audit_viewed,Skeleton + provider status; no stale cross-tenant data,Explain missing operational data and next action,Safe error with correlation_id + privileged detail drawer,Forbidden without disclosing resource existence,"Action confirmed, projection refreshed, audit linked",INC_MESSAGE_INTERVENTION_AUDIT
OPS-018,Platform Ops,Notification Delivery Monitor,"Inspect notification schedules, attempts, suppression and provider failures","Tenant Admin,Support Operator","notification_schedule, delivery_attempt",/notifications/schedules,consent denial never overridden locally,notification_monitor_viewed,Skeleton + provider status; no stale cross-tenant data,Explain missing operational data and next action,Safe error with correlation_id + privileged detail drawer,Forbidden without disclosing resource existence,"Action confirmed, projection refreshed, audit linked",INC_NOTIFICATION_DELIVERY_MONITOR
OPS-019,Platform Ops,Community Moderation Queue,Review reports and pending moderation actions,"Moderator,Tenant Admin","report, post, comment, moderation_action",/community/reports;/community/moderation-actions,moderation audit mandatory,moderation_queue_viewed,Skeleton + provider status; no stale cross-tenant data,Explain missing operational data and next action,Safe error with correlation_id + privileged detail drawer,Forbidden without disclosing resource existence,"Action confirmed, projection refreshed, audit linked",INC_COMMUNITY_MODERATION_QUEUE
OPS-020,Platform Ops,Reported Content Detail,Inspect reported post/comment and action history,"Moderator,Support Operator","reported_content, moderation_action",/community/moderation-actions,PII minimization; safety flags,reported_content_viewed,Skeleton + provider status; no stale cross-tenant data,Explain missing operational data and next action,Safe error with correlation_id + privileged detail drawer,Forbidden without disclosing resource existence,"Action confirmed, projection refreshed, audit linked",INC_REPORTED_CONTENT_DETAIL
OPS-021,Platform Ops,Offer / Plan / Bundle Inspector,"Inspect offer config, plan/bundle mapping and publishing state","Tenant Admin,Support Operator","offer, plan, bundle",/offers/{offer_id},no payment ledger truth,offer_inspected,Skeleton + provider status; no stale cross-tenant data,Explain missing operational data and next action,Safe error with correlation_id + privileged detail drawer,Forbidden without disclosing resource existence,"Action confirmed, projection refreshed, audit linked",INC_OFFER_PLAN_BUNDLE_INSPECTOR
OPS-022,Platform Ops,Checkout Session Inspector,Inspect checkout session reference and activation gate,"Tenant Admin,Support Operator","checkout_session, payment_record_ref",/offers/{offer_id}/checkout-sessions,payment provider remains ledger truth,checkout_inspected,Skeleton + provider status; no stale cross-tenant data,Explain missing operational data and next action,Safe error with correlation_id + privileged detail drawer,Forbidden without disclosing resource existence,"Action confirmed, projection refreshed, audit linked",INC_CHECKOUT_SESSION_INSPECTOR
OPS-023,Platform Ops,Payment Webhook Monitor,"Inspect webhook signature state, dedupe and ordering gaps","Platform Admin,Support Operator","payment_webhook_event, payment_record_ref",/payments/webhooks/{provider},webhook signature validation mandatory,payment_webhook_reviewed,Skeleton + provider status; no stale cross-tenant data,Explain missing operational data and next action,Safe error with correlation_id + privileged detail drawer,Forbidden without disclosing resource existence,"Action confirmed, projection refreshed, audit linked",INC_PAYMENT_WEBHOOK_MONITOR
OPS-024,Platform Ops,Agreement Status Monitor,Inspect agreement state and activation dependency,"Tenant Admin,Support Operator",agreement_status_ref,agreement provider adapter,no local legal document truth unless integrated,agreement_inspected,Skeleton + provider status; no stale cross-tenant data,Explain missing operational data and next action,Safe error with correlation_id + privileged detail drawer,Forbidden without disclosing resource existence,"Action confirmed, projection refreshed, audit linked",INC_AGREEMENT_STATUS_MONITOR
OPS-025,Platform Ops,Outbox Monitor,View pending/publishing/published/failed outbox events,"Platform Admin,Support Operator",outbox_event,/outbox/events,retry policy bounded,outbox_viewed,Skeleton + provider status; no stale cross-tenant data,Explain missing operational data and next action,Safe error with correlation_id + privileged detail drawer,Forbidden without disclosing resource existence,"Action confirmed, projection refreshed, audit linked",INC_OUTBOX_MONITOR
OPS-026,Platform Ops,Dead Letter Event Detail,"Inspect failed event, causation, retry count and replay eligibility",Platform Admin,dead_letter_event,/outbox/events,replay requires audit + idempotency key,dlq_event_viewed,Skeleton + provider status; no stale cross-tenant data,Explain missing operational data and next action,Safe error with correlation_id + privileged detail drawer,Forbidden without disclosing resource existence,"Action confirmed, projection refreshed, audit linked",INC_DEAD_LETTER_EVENT_DETAIL
OPS-027,Platform Ops,Replay Request Console,Request event replay/projection rebuild with scoped reason,Platform Admin,"replay_request, projection_checkpoint",internal replay endpoint,no replay without approval reason,replay_requested,Skeleton + provider status; no stale cross-tenant data,Explain missing operational data and next action,Safe error with correlation_id + privileged detail drawer,Forbidden without disclosing resource existence,"Action confirmed, projection refreshed, audit linked",INC_REPLAY_REQUEST_CONSOLE
OPS-028,Platform Ops,Projection Checkpoint Monitor,"Inspect projection lag, checkpoint and stale read model status","Platform Admin,Support Operator",projection_checkpoint,internal projection status,read-only unless rebuild permitted,projection_monitor_viewed,Skeleton + provider status; no stale cross-tenant data,Explain missing operational data and next action,Safe error with correlation_id + privileged detail drawer,Forbidden without disclosing resource existence,"Action confirmed, projection refreshed, audit linked",INC_PROJECTION_CHECKPOINT_MONITOR
OPS-029,Platform Ops,Audit Log Explorer,"Search audit events by tenant, actor, correlation, resource","Platform Admin,Auditor",audit_event,/audit,tenant scope + support session + minimization,audit_search,Skeleton + provider status; no stale cross-tenant data,Explain missing operational data and next action,Safe error with correlation_id + privileged detail drawer,Forbidden without disclosing resource existence,"Action confirmed, projection refreshed, audit linked",INC_AUDIT_LOG_EXPLORER
OPS-030,Platform Ops,Policy Violation Viewer,View policy/security violation evidence and guard decisions,"Platform Admin,Security Reviewer","policy_violation, enforcement_decision",internal policy events,security restricted,policy_violation_viewed,Skeleton + provider status; no stale cross-tenant data,Explain missing operational data and next action,Safe error with correlation_id + privileged detail drawer,Forbidden without disclosing resource existence,"Action confirmed, projection refreshed, audit linked",INC_POLICY_VIOLATION_VIEWER
OPS-031,Platform Ops,Incident Console,"Create, triage and coordinate incidents with severity and runbook","Platform Admin,Incident Commander","incident, runbook_execution",/support/cases,incident role required,incident_created_or_updated,Skeleton + provider status; no stale cross-tenant data,Explain missing operational data and next action,Safe error with correlation_id + privileged detail drawer,Forbidden without disclosing resource existence,"Action confirmed, projection refreshed, audit linked",INC_INCIDENT_CONSOLE
OPS-032,Platform Ops,Incident Detail / Timeline,"Incident timeline, decisions, communications and status","Incident Commander,Support Operator","incident_event, support_case",/support/cases/{case_id},immutable timeline entries,incident_timeline_viewed,Skeleton + provider status; no stale cross-tenant data,Explain missing operational data and next action,Safe error with correlation_id + privileged detail drawer,Forbidden without disclosing resource existence,"Action confirmed, projection refreshed, audit linked",INC_INCIDENT_DETAIL_TIMELINE
OPS-033,Platform Ops,Runbook Executor,Guided execution of bounded recovery steps,"Incident Commander,Platform Admin","runbook_step, replay_request, support_action",internal ops,dangerous actions require confirmation,runbook_step_executed,Skeleton + provider status; no stale cross-tenant data,Explain missing operational data and next action,Safe error with correlation_id + privileged detail drawer,Forbidden without disclosing resource existence,"Action confirmed, projection refreshed, audit linked",INC_RUNBOOK_EXECUTOR
OPS-034,Platform Ops,Support Case Queue,Queue of user/tenant/system support cases,Support Operator,support_case,/support/cases,case scope guard,support_queue_viewed,Skeleton + provider status; no stale cross-tenant data,Explain missing operational data and next action,Safe error with correlation_id + privileged detail drawer,Forbidden without disclosing resource existence,"Action confirmed, projection refreshed, audit linked",INC_SUPPORT_CASE_QUEUE
OPS-035,Platform Ops,Support Case Detail,"Support case details, linked resources, actions and notes",Support Operator,"support_case, support_note",/support/cases/{case_id},PII minimization + reason code,support_case_viewed,Skeleton + provider status; no stale cross-tenant data,Explain missing operational data and next action,Safe error with correlation_id + privileged detail drawer,Forbidden without disclosing resource existence,"Action confirmed, projection refreshed, audit linked",INC_SUPPORT_CASE_DETAIL
OPS-036,Platform Ops,Data Export / Evidence Package,Generate scoped audit/evidence package for incident or tenant request,"Platform Admin,Auditor","audit_event, evidence_package",internal export,export approval and minimization required,evidence_package_created,Skeleton + provider status; no stale cross-tenant data,Explain missing operational data and next action,Safe error with correlation_id + privileged detail drawer,Forbidden without disclosing resource existence,"Action confirmed, projection refreshed, audit linked",INC_DATA_EXPORT_EVIDENCE_PACKAGE
OPS-037,Platform Ops,Configuration Drift Dashboard,"Detect drift between blueprint, feature config, API/event/data contracts",Platform Admin,"configuration_snapshot, drift_signal",internal drift scan,read-only + issue creation,config_drift_viewed,Skeleton + provider status; no stale cross-tenant data,Explain missing operational data and next action,Safe error with correlation_id + privileged detail drawer,Forbidden without disclosing resource existence,"Action confirmed, projection refreshed, audit linked",INC_CONFIGURATION_DRIFT_DASHBOARD
OPS-038,Platform Ops,Health / Dependency Status,"Core, Canonical, Payment, Calendar, Notification, DB status","Platform Admin,Support Operator",dependency_status,/health + provider adapters,no provider secrets exposed,dependency_status_viewed,Skeleton + provider status; no stale cross-tenant data,Explain missing operational data and next action,Safe error with correlation_id + privileged detail drawer,Forbidden without disclosing resource existence,"Action confirmed, projection refreshed, audit linked",INC_HEALTH_DEPENDENCY_STATUS
OPS-039,Platform Ops,Analytics Quality Dashboard,Monitor delayed/missing analytics projections,"Platform Admin,Tenant Admin","analytics_projection, revenue_projection",/analytics/revenue,projection caveats visible,analytics_quality_viewed,Skeleton + provider status; no stale cross-tenant data,Explain missing operational data and next action,Safe error with correlation_id + privileged detail drawer,Forbidden without disclosing resource existence,"Action confirmed, projection refreshed, audit linked",INC_ANALYTICS_QUALITY_DASHBOARD
OPS-040,Platform Ops,Revenue Dashboard,"Tenant revenue, plans, renewals and conversion metrics","Tenant Admin,Platform Admin",revenue_metric_projection,/dashboards/business;/analytics/revenue,payment ledger caveat,revenue_dashboard_viewed,Skeleton + provider status; no stale cross-tenant data,Explain missing operational data and next action,Safe error with correlation_id + privileged detail drawer,Forbidden without disclosing resource existence,"Action confirmed, projection refreshed, audit linked",INC_REVENUE_DASHBOARD
OPS-041,Platform Ops,Admin User / RBAC Console,Assign/revoke tenant roles and support roles,"Platform Admin,Tenant Admin",tenant_role_assignment,/roles,role change audit mandatory,role_changed,Skeleton + provider status; no stale cross-tenant data,Explain missing operational data and next action,Safe error with correlation_id + privileged detail drawer,Forbidden without disclosing resource existence,"Action confirmed, projection refreshed, audit linked",INC_ADMIN_USER_RBAC_CONSOLE
OPS-042,Platform Ops,System Announcements,Scoped operational announcements to tenants/coaches/clients,Platform Admin,"announcement, notification_schedule",/notifications/schedules,consent/visibility rules apply,announcement_created,Skeleton + provider status; no stale cross-tenant data,Explain missing operational data and next action,Safe error with correlation_id + privileged detail drawer,Forbidden without disclosing resource existence,"Action confirmed, projection refreshed, audit linked",INC_SYSTEM_ANNOUNCEMENTS
OPS-043,Platform Ops,Provider Integration Status,"Inspect connection health for payment, calendar, notification, agreement","Platform Admin,Tenant Admin",provider_connection_ref,provider adapters,secrets never displayed,provider_status_viewed,Skeleton + provider status; no stale cross-tenant data,Explain missing operational data and next action,Safe error with correlation_id + privileged detail drawer,Forbidden without disclosing resource existence,"Action confirmed, projection refreshed, audit linked",INC_PROVIDER_INTEGRATION_STATUS
