Flow ID,Flow Name,Trigger/API,Event Produced,Tables/Aggregates,Owner Module,Purpose,Guards,Transaction Boundary,Outbox Rule,Audit Required,Primary Errors,Primary Incident,Acceptance Test
BF-015,Offer Create,POST /offers,project_b.offer.created.v1,offers|plans|bundles,PB-M13,Creates offer with plan/bundle mapping,tenant_id + actor_ref + role + feature + idempotency + adapter availability,single DB transaction for mutation + audit + outbox insert,event only published after commit; consumers idempotent,YES,PB_ERR_OFFER_CREATE,INC_OFFER_CREATE,unit guard + integration transaction/outbox + contract + E2E happy/forbidden
BF-016,Checkout Session Create,POST /offers/{id}/checkout-sessions,project_b.checkout.started.v1,checkout_session|payment_record_ref,PB-M13,Starts checkout with provider ref,tenant_id + actor_ref + role + feature + idempotency + adapter availability,single DB transaction for mutation + audit + outbox insert,event only published after commit; consumers idempotent,YES,PB_ERR_CHECKOUT_SESSION_CREATE,INC_CHECKOUT_SESSION_CREATE,unit guard + integration transaction/outbox + contract + E2E happy/forbidden
BF-017,Payment Webhook Ingest,POST /payments/webhooks/{provider},project_b.payment.confirmed.v1,payment_webhook_event|payment_record_ref,PB-M13,"Verifies signature, dedupes and updates payment ref",tenant_id + actor_ref + role + feature + idempotency + adapter availability,single DB transaction for mutation + audit + outbox insert,event only published after commit; consumers idempotent,YES,PB_ERR_PAYMENT_WEBHOOK_INGEST,INC_PAYMENT_WEBHOOK_INGEST,unit guard + integration transaction/outbox + contract + E2E happy/forbidden
BF-018,Agreement Signed,Agreement provider webhook / manual mark,project_b.agreement.signed.v1,agreement_status_ref,PB-M13,Marks agreement gate satisfied,tenant_id + actor_ref + role + feature + idempotency + adapter availability,single DB transaction for mutation + audit + outbox insert,event only published after commit; consumers idempotent,YES,PB_ERR_AGREEMENT_SIGNED,INC_AGREEMENT_SIGNED,unit guard + integration transaction/outbox + contract + E2E happy/forbidden
BF-019,Onboarding Start,POST /clients/{id}/onboarding/start,project_b.onboarding.started.v1,onboarding_session,PB-M06,Starts onboarding for client,tenant_id + actor_ref + role + feature + idempotency + adapter availability,single DB transaction for mutation + audit + outbox insert,event only published after commit; consumers idempotent,YES,PB_ERR_ONBOARDING_START,INC_ONBOARDING_START,unit guard + integration transaction/outbox + contract + E2E happy/forbidden
BF-020,Client Assignment Create,POST /clients/{id}/assignments,project_b.assignment.created.v1,assignments|assignment_policy_snapshot,PB-M06,Assigns published journey to client,tenant_id + actor_ref + role + feature + idempotency + adapter availability,single DB transaction for mutation + audit + outbox insert,event only published after commit; consumers idempotent,YES,PB_ERR_CLIENT_ASSIGNMENT_CREATE,INC_CLIENT_ASSIGNMENT_CREATE,unit guard + integration transaction/outbox + contract + E2E happy/forbidden
BF-021,Enrollment Activate,POST /enrollments/{id}/activate,project_b.enrollment.activated.v1,enrollments|core_access_request,PB-M06/PB-M02,Activates enrollment after payment/agreement/Core allow,tenant_id + actor_ref + role + feature + idempotency + adapter availability,single DB transaction for mutation + audit + outbox insert,event only published after commit; consumers idempotent,YES,PB_ERR_ENROLLMENT_ACTIVATE,INC_ENROLLMENT_ACTIVATE,unit guard + integration transaction/outbox + contract + E2E happy/forbidden
BF-022,Member Home Build,GET /members/{id}/home,project_b.member_home.rebuilt.v1,member_home_projection|next_action_card,PB-M08,Builds client home projection,tenant_id + actor_ref + role + feature + idempotency + adapter availability,single DB transaction for mutation + audit + outbox insert,event only published after commit; consumers idempotent,YES,PB_ERR_MEMBER_HOME_BUILD,INC_MEMBER_HOME_BUILD,unit guard + integration transaction/outbox + contract + E2E happy/forbidden
BF-023,Next Step Resolve,GET /enrollments/{id}/steps/next,project_b.next_step.resolved.v1,step_availability|journey_progress_projection,PB-M07,Resolves next available step,tenant_id + actor_ref + role + feature + idempotency + adapter availability,single DB transaction for mutation + audit + outbox insert,event only published after commit; consumers idempotent,YES,PB_ERR_NEXT_STEP_RESOLVE,INC_NEXT_STEP_RESOLVE,unit guard + integration transaction/outbox + contract + E2E happy/forbidden
BF-024,Step Complete,POST /steps/{id}/complete,project_b.step.completed.v1,step_completion|journey_progress_projection,PB-M09,Records step completion and updates progress,tenant_id + actor_ref + role + feature + idempotency + adapter availability,single DB transaction for mutation + audit + outbox insert,event only published after commit; consumers idempotent,YES,PB_ERR_STEP_COMPLETE,INC_STEP_COMPLETE,unit guard + integration transaction/outbox + contract + E2E happy/forbidden
BF-025,Reflection Submit,POST /reflections,project_b.reflection.submitted.v1,reflection_entry,PB-M09,Stores reflection with visibility policy,tenant_id + actor_ref + role + feature + idempotency + adapter availability,single DB transaction for mutation + audit + outbox insert,event only published after commit; consumers idempotent,YES,PB_ERR_REFLECTION_SUBMIT,INC_REFLECTION_SUBMIT,unit guard + integration transaction/outbox + contract + E2E happy/forbidden
BF-026,Message Send,POST /messages,project_b.message.sent.v1,message_thread|message,PB-M11,Sends tenant-scoped message and schedules notification,tenant_id + actor_ref + role + feature + idempotency + adapter availability,single DB transaction for mutation + audit + outbox insert,event only published after commit; consumers idempotent,YES,PB_ERR_MESSAGE_SEND,INC_MESSAGE_SEND,unit guard + integration transaction/outbox + contract + E2E happy/forbidden
BF-027,Notification Schedule,POST /notifications/schedules,project_b.notification.scheduled.v1,notification_schedule|notification_delivery_attempt,PB-M10,Schedules notification with consent and quiet-hour guards,tenant_id + actor_ref + role + feature + idempotency + adapter availability,single DB transaction for mutation + audit + outbox insert,event only published after commit; consumers idempotent,YES,PB_ERR_NOTIFICATION_SCHEDULE,INC_NOTIFICATION_SCHEDULE,unit guard + integration transaction/outbox + contract + E2E happy/forbidden
BF-028,Community Moderation Action,POST /community/moderation-actions,project_b.community.moderated.v1,moderation_action|report,PB-M12,Applies moderation action and audit,tenant_id + actor_ref + role + feature + idempotency + adapter availability,single DB transaction for mutation + audit + outbox insert,event only published after commit; consumers idempotent,YES,PB_ERR_COMMUNITY_MODERATION_ACTION,INC_COMMUNITY_MODERATION_ACTION,unit guard + integration transaction/outbox + contract + E2E happy/forbidden
BF-029,Outbox Retry / DLQ,internal worker,project_b.outbox.dead_lettered.v1,outbox_event|dead_letter_event|retry_record,PB-M17,Retries publishing and moves to DLQ after max attempts,tenant_id + actor_ref + role + feature + idempotency + adapter availability,single DB transaction for mutation + audit + outbox insert,event only published after commit; consumers idempotent,YES,PB_ERR_OUTBOX_RETRY_DLQ,INC_OUTBOX_RETRY_DLQ,unit guard + integration transaction/outbox + contract + E2E happy/forbidden
BF-030,Support Case / Incident Create,POST /support/cases,project_b.support_case.created.v1,support_case|incident_ref|audit_event,PB-M18,Creates support case or incident and links evidence,tenant_id + actor_ref + role + feature + idempotency + adapter availability,single DB transaction for mutation + audit + outbox insert,event only published after commit; consumers idempotent,YES,PB_ERR_SUPPORT_CASE_INCIDENT_CREATE,INC_SUPPORT_CASE_INCIDENT_CREATE,unit guard + integration transaction/outbox + contract + E2E happy/forbidden
