Story ID,Capability ID,Capability Name,Story Type,Actor,As a,I want,So that,Preconditions,Main Flow,Acceptance Criteria,Edge Cases,Primary Screens,APIs,Events,Errors,Tests,Cursor Prompt,Slice,Status
US-004-RUNTIME,B-004,Branded Client App,RUNTIME,Client,Client,use Branded Client App in the live journey/commerce experience,the client/coach flow works end-to-end with correct access and state,tenant exists; actor authenticated; feature enabled where required; Core/DB/Payment adapter availability explicit,Open relevant surface (CL-004|CL-005|CL-006|CL-009|CL-012) -> perform action -> backend validates tenant/access/feature guards -> persist mutation/projection -> emit event/audit -> UI updates state.,"B-004 supports tenant-scoped happy path for Branded Client App | unauthorized actor is denied before mutation | forbidden cross-tenant access returns forbidden state and audit event | successful mutation emits expected domain event when applicable | UI exposes loading, empty, error, forbidden and success states | contract tests cover primary API endpoint and validation errors",adapter unavailable; stale projection; feature disabled; tenant suspended; cross-tenant access attempt; duplicate/idempotent request; revoked access,CL-004|CL-005|CL-006|CL-009|CL-012,/member-home,"member_home.rebuilt, delivery.plan_materialized",PB_ERR_TENANT_SCOPE_DENIED|PB_ERR_AUTH_REQUIRED,unit:guard; integration:mutation+outbox; contract:api; e2e:screen flow; security:tenant isolation,PB-CURSOR-004,MVP-S1,READY_FOR_G1_G4_HANDOFF
US-004-CONTROL,B-004,Branded Client App,CONTROL,Platform Admin / Support,Platform Admin / Support,"inspect, support and audit Branded Client App","failures, permissions and incidents are diagnosable without unsafe data access",tenant exists; actor authenticated; feature enabled where required; Core/DB/Payment adapter availability explicit,Open relevant surface (CL-004|CL-005|CL-006|CL-009|CL-012) -> perform action -> backend validates tenant/access/feature guards -> persist mutation/projection -> emit event/audit -> UI updates state.,"B-004 supports tenant-scoped happy path for Branded Client App | unauthorized actor is denied before mutation | forbidden cross-tenant access returns forbidden state and audit event | successful mutation emits expected domain event when applicable | UI exposes loading, empty, error, forbidden and success states | contract tests cover primary API endpoint and validation errors",adapter unavailable; stale projection; feature disabled; tenant suspended; cross-tenant access attempt; duplicate/idempotent request; revoked access,CL-004|CL-005|CL-006|CL-009|CL-012,/member-home,"member_home.rebuilt, delivery.plan_materialized",PB_ERR_TENANT_SCOPE_DENIED|PB_ERR_AUTH_REQUIRED,unit:guard; integration:mutation+outbox; contract:api; e2e:screen flow; security:tenant isolation,PB-CURSOR-004,MVP-S1,READY_FOR_G1_G4_HANDOFF
US-005-CONFIG,B-005,Tenant App Blueprint,CONFIG,Tenant Admin,Tenant Admin,configure and operate Tenant App Blueprint,the platform can deliver Tenant App Blueprint in first-party and/or tenant mode without custom code,tenant exists; actor authenticated; feature enabled where required; Core/DB/Payment adapter availability explicit,Open relevant surface (ADM-003|ADM-004|ADM-011|OPS-003|OPS-006) -> perform action -> backend validates tenant/access/feature guards -> persist mutation/projection -> emit event/audit -> UI updates state.,"B-005 supports tenant-scoped happy path for Tenant App Blueprint | unauthorized actor is denied before mutation | forbidden cross-tenant access returns forbidden state and audit event | successful mutation emits expected domain event when applicable | UI exposes loading, empty, error, forbidden and success states | contract tests cover primary API endpoint and validation errors",adapter unavailable; stale projection; feature disabled; tenant suspended; cross-tenant access attempt; duplicate/idempotent request; revoked access,ADM-003|ADM-004|ADM-011|OPS-003|OPS-006,/tenant-blueprints,tenant.blueprint_activated,PB_ERR_TENANT_SCOPE_DENIED|PB_ERR_AUTH_REQUIRED|PB_ERR_BLUEPRINT_VALIDATION_FAILED|PB_ERR_FEATURE_DEPENDENCY_MISSING,unit:guard; integration:mutation+outbox; contract:api; e2e:screen flow; security:tenant isolation,PB-CURSOR-001,MVP-S0,READY_FOR_G1_G4_HANDOFF
US-005-RUNTIME,B-005,Tenant App Blueprint,RUNTIME,Tenant Admin,Tenant Admin,use Tenant App Blueprint in the live journey/commerce experience,the client/coach flow works end-to-end with correct access and state,tenant exists; actor authenticated; feature enabled where required; Core/DB/Payment adapter availability explicit,Open relevant surface (ADM-003|ADM-004|ADM-011|OPS-003|OPS-006) -> perform action -> backend validates tenant/access/feature guards -> persist mutation/projection -> emit event/audit -> UI updates state.,"B-005 supports tenant-scoped happy path for Tenant App Blueprint | unauthorized actor is denied before mutation | forbidden cross-tenant access returns forbidden state and audit event | successful mutation emits expected domain event when applicable | UI exposes loading, empty, error, forbidden and success states | contract tests cover primary API endpoint and validation errors",adapter unavailable; stale projection; feature disabled; tenant suspended; cross-tenant access attempt; duplicate/idempotent request; revoked access,ADM-003|ADM-004|ADM-011|OPS-003|OPS-006,/tenant-blueprints,tenant.blueprint_activated,PB_ERR_TENANT_SCOPE_DENIED|PB_ERR_AUTH_REQUIRED|PB_ERR_BLUEPRINT_VALIDATION_FAILED|PB_ERR_FEATURE_DEPENDENCY_MISSING,unit:guard; integration:mutation+outbox; contract:api; e2e:screen flow; security:tenant isolation,PB-CURSOR-001,MVP-S0,READY_FOR_G1_G4_HANDOFF
US-005-CONTROL,B-005,Tenant App Blueprint,CONTROL,Platform Admin / Support,Platform Admin / Support,"inspect, support and audit Tenant App Blueprint","failures, permissions and incidents are diagnosable without unsafe data access",tenant exists; actor authenticated; feature enabled where required; Core/DB/Payment adapter availability explicit,Open relevant surface (ADM-003|ADM-004|ADM-011|OPS-003|OPS-006) -> perform action -> backend validates tenant/access/feature guards -> persist mutation/projection -> emit event/audit -> UI updates state.,"B-005 supports tenant-scoped happy path for Tenant App Blueprint | unauthorized actor is denied before mutation | forbidden cross-tenant access returns forbidden state and audit event | successful mutation emits expected domain event when applicable | UI exposes loading, empty, error, forbidden and success states | contract tests cover primary API endpoint and validation errors",adapter unavailable; stale projection; feature disabled; tenant suspended; cross-tenant access attempt; duplicate/idempotent request; revoked access,ADM-003|ADM-004|ADM-011|OPS-003|OPS-006,/tenant-blueprints,tenant.blueprint_activated,PB_ERR_TENANT_SCOPE_DENIED|PB_ERR_AUTH_REQUIRED|PB_ERR_BLUEPRINT_VALIDATION_FAILED|PB_ERR_FEATURE_DEPENDENCY_MISSING,unit:guard; integration:mutation+outbox; contract:api; e2e:screen flow; security:tenant isolation,PB-CURSOR-001,MVP-S0,READY_FOR_G1_G4_HANDOFF
US-006-CONFIG,B-006,Feature Configuration,CONFIG,Tenant Admin,Tenant Admin,configure and operate Feature Configuration,the platform can deliver Feature Configuration in first-party and/or tenant mode without custom code,tenant exists; actor authenticated; feature enabled where required; Core/DB/Payment adapter availability explicit,Open relevant surface (ADM-004|ADM-011|CS-001|OPS-003) -> perform action -> backend validates tenant/access/feature guards -> persist mutation/projection -> emit event/audit -> UI updates state.,"B-006 supports tenant-scoped happy path for Feature Configuration | unauthorized actor is denied before mutation | forbidden cross-tenant access returns forbidden state and audit event | successful mutation emits expected domain event when applicable | UI exposes loading, empty, error, forbidden and success states | contract tests cover primary API endpoint and validation errors",adapter unavailable; stale projection; feature disabled; tenant suspended; cross-tenant access attempt; duplicate/idempotent request; revoked access,ADM-004|ADM-011|CS-001|OPS-003,/feature-configurations,tenant.feature_config_updated,PB_ERR_TENANT_SCOPE_DENIED|PB_ERR_AUTH_REQUIRED|PB_ERR_BLUEPRINT_VALIDATION_FAILED|PB_ERR_FEATURE_DEPENDENCY_MISSING,unit:guard; integration:mutation+outbox; contract:api; e2e:screen flow; security:tenant isolation,PB-CURSOR-002,MVP-S0,READY_FOR_G1_G4_HANDOFF
US-006-RUNTIME,B-006,Feature Configuration,RUNTIME,Tenant Admin,Tenant Admin,use Feature Configuration in the live journey/commerce experience,the client/coach flow works end-to-end with correct access and state,tenant exists; actor authenticated; feature enabled where required; Core/DB/Payment adapter availability explicit,Open relevant surface (ADM-004|ADM-011|CS-001|OPS-003) -> perform action -> backend validates tenant/access/feature guards -> persist mutation/projection -> emit event/audit -> UI updates state.,"B-006 supports tenant-scoped happy path for Feature Configuration | unauthorized actor is denied before mutation | forbidden cross-tenant access returns forbidden state and audit event | successful mutation emits expected domain event when applicable | UI exposes loading, empty, error, forbidden and success states | contract tests cover primary API endpoint and validation errors",adapter unavailable; stale projection; feature disabled; tenant suspended; cross-tenant access attempt; duplicate/idempotent request; revoked access,ADM-004|ADM-011|CS-001|OPS-003,/feature-configurations,tenant.feature_config_updated,PB_ERR_TENANT_SCOPE_DENIED|PB_ERR_AUTH_REQUIRED|PB_ERR_BLUEPRINT_VALIDATION_FAILED|PB_ERR_FEATURE_DEPENDENCY_MISSING,unit:guard; integration:mutation+outbox; contract:api; e2e:screen flow; security:tenant isolation,PB-CURSOR-002,MVP-S0,READY_FOR_G1_G4_HANDOFF
US-006-CONTROL,B-006,Feature Configuration,CONTROL,Platform Admin / Support,Platform Admin / Support,"inspect, support and audit Feature Configuration","failures, permissions and incidents are diagnosable without unsafe data access",tenant exists; actor authenticated; feature enabled where required; Core/DB/Payment adapter availability explicit,Open relevant surface (ADM-004|ADM-011|CS-001|OPS-003) -> perform action -> backend validates tenant/access/feature guards -> persist mutation/projection -> emit event/audit -> UI updates state.,"B-006 supports tenant-scoped happy path for Feature Configuration | unauthorized actor is denied before mutation | forbidden cross-tenant access returns forbidden state and audit event | successful mutation emits expected domain event when applicable | UI exposes loading, empty, error, forbidden and success states | contract tests cover primary API endpoint and validation errors",adapter unavailable; stale projection; feature disabled; tenant suspended; cross-tenant access attempt; duplicate/idempotent request; revoked access,ADM-004|ADM-011|CS-001|OPS-003,/feature-configurations,tenant.feature_config_updated,PB_ERR_TENANT_SCOPE_DENIED|PB_ERR_AUTH_REQUIRED|PB_ERR_BLUEPRINT_VALIDATION_FAILED|PB_ERR_FEATURE_DEPENDENCY_MISSING,unit:guard; integration:mutation+outbox; contract:api; e2e:screen flow; security:tenant isolation,PB-CURSOR-002,MVP-S0,READY_FOR_G1_G4_HANDOFF
US-007-CONFIG,B-007,Branding / Theme,CONFIG,Tenant Admin,Tenant Admin,configure and operate Branding / Theme,the platform can deliver Branding / Theme in first-party and/or tenant mode without custom code,tenant exists; actor authenticated; feature enabled where required; Core/DB/Payment adapter availability explicit,Open relevant surface (ADM-005|CL-004|CS-001|OPS-006) -> perform action -> backend validates tenant/access/feature guards -> persist mutation/projection -> emit event/audit -> UI updates state.,"B-007 supports tenant-scoped happy path for Branding / Theme | unauthorized actor is denied before mutation | forbidden cross-tenant access returns forbidden state and audit event | successful mutation emits expected domain event when applicable | UI exposes loading, empty, error, forbidden and success states | contract tests cover primary API endpoint and validation errors",adapter unavailable; stale projection; feature disabled; tenant suspended; cross-tenant access attempt; duplicate/idempotent request; revoked access,ADM-005|CL-004|CS-001|OPS-006,/tenant-branding,tenant.branding_updated,PB_ERR_TENANT_SCOPE_DENIED|PB_ERR_AUTH_REQUIRED|PB_ERR_BLUEPRINT_VALIDATION_FAILED|PB_ERR_FEATURE_DEPENDENCY_MISSING,unit:guard; integration:mutation+outbox; contract:api; e2e:screen flow; security:tenant isolation,PB-CURSOR-001,MVP-S1,READY_FOR_G1_G4_HANDOFF
US-007-RUNTIME,B-007,Branding / Theme,RUNTIME,Tenant Admin,Tenant Admin,use Branding / Theme in the live journey/commerce experience,the client/coach flow works end-to-end with correct access and state,tenant exists; actor authenticated; feature enabled where required; Core/DB/Payment adapter availability explicit,Open relevant surface (ADM-005|CL-004|CS-001|OPS-006) -> perform action -> backend validates tenant/access/feature guards -> persist mutation/projection -> emit event/audit -> UI updates state.,"B-007 supports tenant-scoped happy path for Branding / Theme | unauthorized actor is denied before mutation | forbidden cross-tenant access returns forbidden state and audit event | successful mutation emits expected domain event when applicable | UI exposes loading, empty, error, forbidden and success states | contract tests cover primary API endpoint and validation errors",adapter unavailable; stale projection; feature disabled; tenant suspended; cross-tenant access attempt; duplicate/idempotent request; revoked access,ADM-005|CL-004|CS-001|OPS-006,/tenant-branding,tenant.branding_updated,PB_ERR_TENANT_SCOPE_DENIED|PB_ERR_AUTH_REQUIRED|PB_ERR_BLUEPRINT_VALIDATION_FAILED|PB_ERR_FEATURE_DEPENDENCY_MISSING,unit:guard; integration:mutation+outbox; contract:api; e2e:screen flow; security:tenant isolation,PB-CURSOR-001,MVP-S1,READY_FOR_G1_G4_HANDOFF
US-007-CONTROL,B-007,Branding / Theme,CONTROL,Platform Admin / Support,Platform Admin / Support,"inspect, support and audit Branding / Theme","failures, permissions and incidents are diagnosable without unsafe data access",tenant exists; actor authenticated; feature enabled where required; Core/DB/Payment adapter availability explicit,Open relevant surface (ADM-005|CL-004|CS-001|OPS-006) -> perform action -> backend validates tenant/access/feature guards -> persist mutation/projection -> emit event/audit -> UI updates state.,"B-007 supports tenant-scoped happy path for Branding / Theme | unauthorized actor is denied before mutation | forbidden cross-tenant access returns forbidden state and audit event | successful mutation emits expected domain event when applicable | UI exposes loading, empty, error, forbidden and success states | contract tests cover primary API endpoint and validation errors",adapter unavailable; stale projection; feature disabled; tenant suspended; cross-tenant access attempt; duplicate/idempotent request; revoked access,ADM-005|CL-004|CS-001|OPS-006,/tenant-branding,tenant.branding_updated,PB_ERR_TENANT_SCOPE_DENIED|PB_ERR_AUTH_REQUIRED|PB_ERR_BLUEPRINT_VALIDATION_FAILED|PB_ERR_FEATURE_DEPENDENCY_MISSING,unit:guard; integration:mutation+outbox; contract:api; e2e:screen flow; security:tenant isolation,PB-CURSOR-001,MVP-S1,READY_FOR_G1_G4_HANDOFF
US-008-CONFIG,B-008,Onboarding Flow,CONFIG,Client + Tenant Admin,Client + Tenant Admin,configure and operate Onboarding Flow,the platform can deliver Onboarding Flow in first-party and/or tenant mode without custom code,tenant exists; actor authenticated; feature enabled where required; Core/DB/Payment adapter availability explicit,Open relevant surface (ADM-006|CL-001|CL-002|CL-003|OPS-005) -> perform action -> backend validates tenant/access/feature guards -> persist mutation/projection -> emit event/audit -> UI updates state.,"B-008 supports tenant-scoped happy path for Onboarding Flow | unauthorized actor is denied before mutation | forbidden cross-tenant access returns forbidden state and audit event | successful mutation emits expected domain event when applicable | UI exposes loading, empty, error, forbidden and success states | contract tests cover primary API endpoint and validation errors",adapter unavailable; stale projection; feature disabled; tenant suspended; cross-tenant access attempt; duplicate/idempotent request; revoked access,ADM-006|CL-001|CL-002|CL-003|OPS-005,/onboarding-flows,"onboarding.flow_published, onboarding.submitted",PB_ERR_TENANT_SCOPE_DENIED|PB_ERR_AUTH_REQUIRED|PB_ERR_BLUEPRINT_VALIDATION_FAILED|PB_ERR_FEATURE_DEPENDENCY_MISSING,unit:guard; integration:mutation+outbox; contract:api; e2e:screen flow; security:tenant isolation,PB-CURSOR-003,MVP-S1,READY_FOR_G1_G4_HANDOFF
US-008-RUNTIME,B-008,Onboarding Flow,RUNTIME,Client + Tenant Admin,Client + Tenant Admin,use Onboarding Flow in the live journey/commerce experience,the client/coach flow works end-to-end with correct access and state,tenant exists; actor authenticated; feature enabled where required; Core/DB/Payment adapter availability explicit,Open relevant surface (ADM-006|CL-001|CL-002|CL-003|OPS-005) -> perform action -> backend validates tenant/access/feature guards -> persist mutation/projection -> emit event/audit -> UI updates state.,"B-008 supports tenant-scoped happy path for Onboarding Flow | unauthorized actor is denied before mutation | forbidden cross-tenant access returns forbidden state and audit event | successful mutation emits expected domain event when applicable | UI exposes loading, empty, error, forbidden and success states | contract tests cover primary API endpoint and validation errors",adapter unavailable; stale projection; feature disabled; tenant suspended; cross-tenant access attempt; duplicate/idempotent request; revoked access,ADM-006|CL-001|CL-002|CL-003|OPS-005,/onboarding-flows,"onboarding.flow_published, onboarding.submitted",PB_ERR_TENANT_SCOPE_DENIED|PB_ERR_AUTH_REQUIRED|PB_ERR_BLUEPRINT_VALIDATION_FAILED|PB_ERR_FEATURE_DEPENDENCY_MISSING,unit:guard; integration:mutation+outbox; contract:api; e2e:screen flow; security:tenant isolation,PB-CURSOR-003,MVP-S1,READY_FOR_G1_G4_HANDOFF
