Screen ID,Surface,Screen Name,Purpose,Capabilities,Primary Data,Primary API,Happy State,Loading State,Empty State,Error State,Forbidden State,Success State,Audit / Telemetry,Accessibility Baseline,Security Constraint
ADM-006,Tenant Admin,Onboarding Builder,Onboarding flow questions/screens/policies configured,B-008,onboarding_flow|onboarding_step|onboarding_submission,/onboarding-flows,Onboarding Builder renders tenant-scoped actionable content with current projection timestamp.,Skeleton with tenant/app chrome; no stale cross-tenant content; cancellable/retry-safe fetch.,Explains why no data exists and offers role-appropriate next action; no fake demo content.,Displays safe message with correlation_id; admin/coach details only in privileged surfaces.,Access denied state; explains missing permission/entitlement without leaking resource existence.,"Confirms action, updates projection or list, emits audit/telemetry where applicable.",screen_view; action_attempt; action_success/failure; correlation_id; tenant_id; actor_ref.,WCAG 2.2 AA target; keyboard reachable; visible focus; form errors tied to fields; no color-only state.,All reads/writes scoped by tenant_id + actor_ref; privileged support requires support_session_ref.
ADM-007,Tenant Admin,Notification Policy Builder,Reminders/nudges/quiet-hours configured,B-014,notification_template|schedule|delivery_attempt,/notifications,Notification Policy Builder renders tenant-scoped actionable content with current projection timestamp.,Skeleton with tenant/app chrome; no stale cross-tenant content; cancellable/retry-safe fetch.,Explains why no data exists and offers role-appropriate next action; no fake demo content.,Displays safe message with correlation_id; admin/coach details only in privileged surfaces.,Access denied state; explains missing permission/entitlement without leaking resource existence.,"Confirms action, updates projection or list, emits audit/telemetry where applicable.",screen_view; action_attempt; action_success/failure; correlation_id; tenant_id; actor_ref.,WCAG 2.2 AA target; keyboard reachable; visible focus; form errors tied to fields; no color-only state.,All reads/writes scoped by tenant_id + actor_ref; privileged support requires support_session_ref.
ADM-008,Tenant Admin,Community Configuration,"Spaces, permissions and moderation configured",B-016,community_space|post|comment|report|moderation_action,/community,Community Configuration renders tenant-scoped actionable content with current projection timestamp.,Skeleton with tenant/app chrome; no stale cross-tenant content; cancellable/retry-safe fetch.,Explains why no data exists and offers role-appropriate next action; no fake demo content.,Displays safe message with correlation_id; admin/coach details only in privileged surfaces.,Access denied state; explains missing permission/entitlement without leaking resource existence.,"Confirms action, updates projection or list, emits audit/telemetry where applicable.",screen_view; action_attempt; action_success/failure; correlation_id; tenant_id; actor_ref.,WCAG 2.2 AA target; keyboard reachable; visible focus; form errors tied to fields; no color-only state.,All reads/writes scoped by tenant_id + actor_ref; privileged support requires support_session_ref.
ADM-009,Tenant Admin,Offer Catalog Configuration,Offers/plans/bundles/tiers configured,B-017|B-025,plan|bundle|offer|entitlement_activation_ref;renewal_trigger,/offers;/renewals,Offer Catalog Configuration renders tenant-scoped actionable content with current projection timestamp.,Skeleton with tenant/app chrome; no stale cross-tenant content; cancellable/retry-safe fetch.,Explains why no data exists and offers role-appropriate next action; no fake demo content.,Displays safe message with correlation_id; admin/coach details only in privileged surfaces.,Access denied state; explains missing permission/entitlement without leaking resource existence.,"Confirms action, updates projection or list, emits audit/telemetry where applicable.",screen_view; action_attempt; action_success/failure; correlation_id; tenant_id; actor_ref.,WCAG 2.2 AA target; keyboard reachable; visible focus; form errors tied to fields; no color-only state.,All reads/writes scoped by tenant_id + actor_ref; privileged support requires support_session_ref.
ADM-010,Tenant Admin,Integration Profile,Calendar/payment/messaging seams configured,B-026|B-022,calendar_connection|calendar_event_ref;checkout_session|payment_record_ref,/calendar-integrations;/checkout-sessions,Integration Profile renders tenant-scoped actionable content with current projection timestamp.,Skeleton with tenant/app chrome; no stale cross-tenant content; cancellable/retry-safe fetch.,Explains why no data exists and offers role-appropriate next action; no fake demo content.,Displays safe message with correlation_id; admin/coach details only in privileged surfaces.,Access denied state; explains missing permission/entitlement without leaking resource existence.,"Confirms action, updates projection or list, emits audit/telemetry where applicable.",screen_view; action_attempt; action_success/failure; correlation_id; tenant_id; actor_ref.,WCAG 2.2 AA target; keyboard reachable; visible focus; form errors tied to fields; no color-only state.,All reads/writes scoped by tenant_id + actor_ref; privileged support requires support_session_ref.
ADM-011,Tenant Admin,Blueprint Publish Review,"Validation, diff and activation audit",B-005|B-006,tenant_app_blueprint|feature_config;tenant_feature_config|feature_dependency,/tenant-blueprints;/feature-configurations,Blueprint Publish Review renders tenant-scoped actionable content with current projection timestamp.,Skeleton with tenant/app chrome; no stale cross-tenant content; cancellable/retry-safe fetch.,Explains why no data exists and offers role-appropriate next action; no fake demo content.,Displays safe message with correlation_id; admin/coach details only in privileged surfaces.,Access denied state; explains missing permission/entitlement without leaking resource existence.,"Confirms action, updates projection or list, emits audit/telemetry where applicable.",screen_view; action_attempt; action_success/failure; correlation_id; tenant_id; actor_ref.,WCAG 2.2 AA target; keyboard reachable; visible focus; form errors tied to fields; no color-only state.,All reads/writes scoped by tenant_id + actor_ref; privileged support requires support_session_ref.
CS-001,Coach Studio,Coach Dashboard,Daily operating overview,B-003|B-027|B-028,coach_profile|journey_draft|content_item|offer;revenue_metric_projection|pipeline_metric;client_risk_signal,/coach/dashboard;/analytics/business;/analytics/risk-signals,Coach Dashboard renders tenant-scoped actionable content with current projection timestamp.,Skeleton with tenant/app chrome; no stale cross-tenant content; cancellable/retry-safe fetch.,Explains why no data exists and offers role-appropriate next action; no fake demo content.,Displays safe message with correlation_id; admin/coach details only in privileged surfaces.,Access denied state; explains missing permission/entitlement without leaking resource existence.,"Confirms action, updates projection or list, emits audit/telemetry where applicable.",screen_view; action_attempt; action_success/failure; correlation_id; tenant_id; actor_ref.,WCAG 2.2 AA target; keyboard reachable; visible focus; form errors tied to fields; no color-only state.,All reads/writes scoped by tenant_id + actor_ref; privileged support requires support_session_ref.
CS-002,Coach Studio,Lead Inbox,New leads reviewed and assigned,B-019,lead|prospect,/leads,Lead Inbox renders tenant-scoped actionable content with current projection timestamp.,Skeleton with tenant/app chrome; no stale cross-tenant content; cancellable/retry-safe fetch.,Explains why no data exists and offers role-appropriate next action; no fake demo content.,Displays safe message with correlation_id; admin/coach details only in privileged surfaces.,Access denied state; explains missing permission/entitlement without leaking resource existence.,"Confirms action, updates projection or list, emits audit/telemetry where applicable.",screen_view; action_attempt; action_success/failure; correlation_id; tenant_id; actor_ref.,WCAG 2.2 AA target; keyboard reachable; visible focus; form errors tied to fields; no color-only state.,All reads/writes scoped by tenant_id + actor_ref; privileged support requires support_session_ref.
CS-003,Coach Studio,Sales Pipeline,Pipeline stages and follow-ups managed,B-020,pipeline_stage|pipeline_transition,/pipeline,Sales Pipeline renders tenant-scoped actionable content with current projection timestamp.,Skeleton with tenant/app chrome; no stale cross-tenant content; cancellable/retry-safe fetch.,Explains why no data exists and offers role-appropriate next action; no fake demo content.,Displays safe message with correlation_id; admin/coach details only in privileged surfaces.,Access denied state; explains missing permission/entitlement without leaking resource existence.,"Confirms action, updates projection or list, emits audit/telemetry where applicable.",screen_view; action_attempt; action_success/failure; correlation_id; tenant_id; actor_ref.,WCAG 2.2 AA target; keyboard reachable; visible focus; form errors tied to fields; no color-only state.,All reads/writes scoped by tenant_id + actor_ref; privileged support requires support_session_ref.
CS-004,Coach Studio,Calendar / Discovery Calls,Scheduled calls visible and manageable,B-021|B-026,booking_request|discovery_call;calendar_connection|calendar_event_ref,/booking-requests;/calendar-integrations,Calendar / Discovery Calls renders tenant-scoped actionable content with current projection timestamp.,Skeleton with tenant/app chrome; no stale cross-tenant content; cancellable/retry-safe fetch.,Explains why no data exists and offers role-appropriate next action; no fake demo content.,Displays safe message with correlation_id; admin/coach details only in privileged surfaces.,Access denied state; explains missing permission/entitlement without leaking resource existence.,"Confirms action, updates projection or list, emits audit/telemetry where applicable.",screen_view; action_attempt; action_success/failure; correlation_id; tenant_id; actor_ref.,WCAG 2.2 AA target; keyboard reachable; visible focus; form errors tied to fields; no color-only state.,All reads/writes scoped by tenant_id + actor_ref; privileged support requires support_session_ref.
CS-005,Coach Studio,Client List,Clients filtered by lifecycle/status,B-012|B-024,assignment|enrollment|enrollment_status;client_lifecycle_event,/assignments;/client-lifecycle,Client List renders tenant-scoped actionable content with current projection timestamp.,Skeleton with tenant/app chrome; no stale cross-tenant content; cancellable/retry-safe fetch.,Explains why no data exists and offers role-appropriate next action; no fake demo content.,Displays safe message with correlation_id; admin/coach details only in privileged surfaces.,Access denied state; explains missing permission/entitlement without leaking resource existence.,"Confirms action, updates projection or list, emits audit/telemetry where applicable.",screen_view; action_attempt; action_success/failure; correlation_id; tenant_id; actor_ref.,WCAG 2.2 AA target; keyboard reachable; visible focus; form errors tied to fields; no color-only state.,All reads/writes scoped by tenant_id + actor_ref; privileged support requires support_session_ref.
CS-006,Coach Studio,Client Detail,"Lifecycle, access, progress, notes and incidents",B-024|B-028,client_lifecycle_event;client_risk_signal,/client-lifecycle;/analytics/risk-signals,Client Detail renders tenant-scoped actionable content with current projection timestamp.,Skeleton with tenant/app chrome; no stale cross-tenant content; cancellable/retry-safe fetch.,Explains why no data exists and offers role-appropriate next action; no fake demo content.,Displays safe message with correlation_id; admin/coach details only in privileged surfaces.,Access denied state; explains missing permission/entitlement without leaking resource existence.,"Confirms action, updates projection or list, emits audit/telemetry where applicable.",screen_view; action_attempt; action_success/failure; correlation_id; tenant_id; actor_ref.,WCAG 2.2 AA target; keyboard reachable; visible focus; form errors tied to fields; no color-only state.,All reads/writes scoped by tenant_id + actor_ref; privileged support requires support_session_ref.
CS-007,Coach Studio,Journey Library,Draft/published/archived journeys listed,B-010,journey_draft|journey_version|journey_phase|journey_step,/journeys,Journey Library renders tenant-scoped actionable content with current projection timestamp.,Skeleton with tenant/app chrome; no stale cross-tenant content; cancellable/retry-safe fetch.,Explains why no data exists and offers role-appropriate next action; no fake demo content.,Displays safe message with correlation_id; admin/coach details only in privileged surfaces.,Access denied state; explains missing permission/entitlement without leaking resource existence.,"Confirms action, updates projection or list, emits audit/telemetry where applicable.",screen_view; action_attempt; action_success/failure; correlation_id; tenant_id; actor_ref.,WCAG 2.2 AA target; keyboard reachable; visible focus; form errors tied to fields; no color-only state.,All reads/writes scoped by tenant_id + actor_ref; privileged support requires support_session_ref.
CS-008,Coach Studio,Journey Builder,Phases/steps/content/cadence authored,B-010|B-011,journey_draft|journey_version|journey_phase|journey_step;content_space|content_collection|content_item|canonical_ref_binding,/journeys;/content-spaces,Journey Builder renders tenant-scoped actionable content with current projection timestamp.,Skeleton with tenant/app chrome; no stale cross-tenant content; cancellable/retry-safe fetch.,Explains why no data exists and offers role-appropriate next action; no fake demo content.,Displays safe message with correlation_id; admin/coach details only in privileged surfaces.,Access denied state; explains missing permission/entitlement without leaking resource existence.,"Confirms action, updates projection or list, emits audit/telemetry where applicable.",screen_view; action_attempt; action_success/failure; correlation_id; tenant_id; actor_ref.,WCAG 2.2 AA target; keyboard reachable; visible focus; form errors tied to fields; no color-only state.,All reads/writes scoped by tenant_id + actor_ref; privileged support requires support_session_ref.
CS-009,Coach Studio,Journey Publish Validation,Publish blockers and canonical refs reviewed,B-010|B-011,journey_draft|journey_version|journey_phase|journey_step;content_space|content_collection|content_item|canonical_ref_binding,/journeys;/content-spaces,Journey Publish Validation renders tenant-scoped actionable content with current projection timestamp.,Skeleton with tenant/app chrome; no stale cross-tenant content; cancellable/retry-safe fetch.,Explains why no data exists and offers role-appropriate next action; no fake demo content.,Displays safe message with correlation_id; admin/coach details only in privileged surfaces.,Access denied state; explains missing permission/entitlement without leaking resource existence.,"Confirms action, updates projection or list, emits audit/telemetry where applicable.",screen_view; action_attempt; action_success/failure; correlation_id; tenant_id; actor_ref.,WCAG 2.2 AA target; keyboard reachable; visible focus; form errors tied to fields; no color-only state.,All reads/writes scoped by tenant_id + actor_ref; privileged support requires support_session_ref.
CS-010,Coach Studio,Content Spaces,Spaces/collections organized,B-011,content_space|content_collection|content_item|canonical_ref_binding,/content-spaces,Content Spaces renders tenant-scoped actionable content with current projection timestamp.,Skeleton with tenant/app chrome; no stale cross-tenant content; cancellable/retry-safe fetch.,Explains why no data exists and offers role-appropriate next action; no fake demo content.,Displays safe message with correlation_id; admin/coach details only in privileged surfaces.,Access denied state; explains missing permission/entitlement without leaking resource existence.,"Confirms action, updates projection or list, emits audit/telemetry where applicable.",screen_view; action_attempt; action_success/failure; correlation_id; tenant_id; actor_ref.,WCAG 2.2 AA target; keyboard reachable; visible focus; form errors tied to fields; no color-only state.,All reads/writes scoped by tenant_id + actor_ref; privileged support requires support_session_ref.
CS-011,Coach Studio,Content Asset Detail,Asset metadata/source/canonical binding managed,B-011,content_space|content_collection|content_item|canonical_ref_binding,/content-spaces,Content Asset Detail renders tenant-scoped actionable content with current projection timestamp.,Skeleton with tenant/app chrome; no stale cross-tenant content; cancellable/retry-safe fetch.,Explains why no data exists and offers role-appropriate next action; no fake demo content.,Displays safe message with correlation_id; admin/coach details only in privileged surfaces.,Access denied state; explains missing permission/entitlement without leaking resource existence.,"Confirms action, updates projection or list, emits audit/telemetry where applicable.",screen_view; action_attempt; action_success/failure; correlation_id; tenant_id; actor_ref.,WCAG 2.2 AA target; keyboard reachable; visible focus; form errors tied to fields; no color-only state.,All reads/writes scoped by tenant_id + actor_ref; privileged support requires support_session_ref.
CS-012,Coach Studio,Assignment Console,Published journeys assigned to clients/cohorts,B-012,assignment|enrollment|enrollment_status,/assignments,Assignment Console renders tenant-scoped actionable content with current projection timestamp.,Skeleton with tenant/app chrome; no stale cross-tenant content; cancellable/retry-safe fetch.,Explains why no data exists and offers role-appropriate next action; no fake demo content.,Displays safe message with correlation_id; admin/coach details only in privileged surfaces.,Access denied state; explains missing permission/entitlement without leaking resource existence.,"Confirms action, updates projection or list, emits audit/telemetry where applicable.",screen_view; action_attempt; action_success/failure; correlation_id; tenant_id; actor_ref.,WCAG 2.2 AA target; keyboard reachable; visible focus; form errors tied to fields; no color-only state.,All reads/writes scoped by tenant_id + actor_ref; privileged support requires support_session_ref.
CS-013,Coach Studio,Enrollment Monitor,"Enrollment health, access and projections",B-012|B-024,assignment|enrollment|enrollment_status;client_lifecycle_event,/assignments;/client-lifecycle,Enrollment Monitor renders tenant-scoped actionable content with current projection timestamp.,Skeleton with tenant/app chrome; no stale cross-tenant content; cancellable/retry-safe fetch.,Explains why no data exists and offers role-appropriate next action; no fake demo content.,Displays safe message with correlation_id; admin/coach details only in privileged surfaces.,Access denied state; explains missing permission/entitlement without leaking resource existence.,"Confirms action, updates projection or list, emits audit/telemetry where applicable.",screen_view; action_attempt; action_success/failure; correlation_id; tenant_id; actor_ref.,WCAG 2.2 AA target; keyboard reachable; visible focus; form errors tied to fields; no color-only state.,All reads/writes scoped by tenant_id + actor_ref; privileged support requires support_session_ref.
CS-014,Coach Studio,Messages Inbox,Coach-client messages and statuses,B-015,message_thread|message|intervention_note,/messages,Messages Inbox renders tenant-scoped actionable content with current projection timestamp.,Skeleton with tenant/app chrome; no stale cross-tenant content; cancellable/retry-safe fetch.,Explains why no data exists and offers role-appropriate next action; no fake demo content.,Displays safe message with correlation_id; admin/coach details only in privileged surfaces.,Access denied state; explains missing permission/entitlement without leaking resource existence.,"Confirms action, updates projection or list, emits audit/telemetry where applicable.",screen_view; action_attempt; action_success/failure; correlation_id; tenant_id; actor_ref.,WCAG 2.2 AA target; keyboard reachable; visible focus; form errors tied to fields; no color-only state.,All reads/writes scoped by tenant_id + actor_ref; privileged support requires support_session_ref.
CS-015,Coach Studio,Intervention Composer,Coach sends structured intervention,B-015|B-028,message_thread|message|intervention_note;client_risk_signal,/messages;/analytics/risk-signals,Intervention Composer renders tenant-scoped actionable content with current projection timestamp.,Skeleton with tenant/app chrome; no stale cross-tenant content; cancellable/retry-safe fetch.,Explains why no data exists and offers role-appropriate next action; no fake demo content.,Displays safe message with correlation_id; admin/coach details only in privileged surfaces.,Access denied state; explains missing permission/entitlement without leaking resource existence.,"Confirms action, updates projection or list, emits audit/telemetry where applicable.",screen_view; action_attempt; action_success/failure; correlation_id; tenant_id; actor_ref.,WCAG 2.2 AA target; keyboard reachable; visible focus; form errors tied to fields; no color-only state.,All reads/writes scoped by tenant_id + actor_ref; privileged support requires support_session_ref.
CS-016,Coach Studio,Community Moderation,"Reports, hidden content and moderation actions",B-016,community_space|post|comment|report|moderation_action,/community,Community Moderation renders tenant-scoped actionable content with current projection timestamp.,Skeleton with tenant/app chrome; no stale cross-tenant content; cancellable/retry-safe fetch.,Explains why no data exists and offers role-appropriate next action; no fake demo content.,Displays safe message with correlation_id; admin/coach details only in privileged surfaces.,Access denied state; explains missing permission/entitlement without leaking resource existence.,"Confirms action, updates projection or list, emits audit/telemetry where applicable.",screen_view; action_attempt; action_success/failure; correlation_id; tenant_id; actor_ref.,WCAG 2.2 AA target; keyboard reachable; visible focus; form errors tied to fields; no color-only state.,All reads/writes scoped by tenant_id + actor_ref; privileged support requires support_session_ref.
CS-017,Coach Studio,Offers / Plans / Bundles,Commercial packaging configured,B-017|B-025,plan|bundle|offer|entitlement_activation_ref;renewal_trigger,/offers;/renewals,Offers / Plans / Bundles renders tenant-scoped actionable content with current projection timestamp.,Skeleton with tenant/app chrome; no stale cross-tenant content; cancellable/retry-safe fetch.,Explains why no data exists and offers role-appropriate next action; no fake demo content.,Displays safe message with correlation_id; admin/coach details only in privileged surfaces.,Access denied state; explains missing permission/entitlement without leaking resource existence.,"Confirms action, updates projection or list, emits audit/telemetry where applicable.",screen_view; action_attempt; action_success/failure; correlation_id; tenant_id; actor_ref.,WCAG 2.2 AA target; keyboard reachable; visible focus; form errors tied to fields; no color-only state.,All reads/writes scoped by tenant_id + actor_ref; privileged support requires support_session_ref.
CS-018,Coach Studio,Analytics Dashboard,"Progress, engagement and risk",B-027|B-028,revenue_metric_projection|pipeline_metric;client_risk_signal,/analytics/business;/analytics/risk-signals,Analytics Dashboard renders tenant-scoped actionable content with current projection timestamp.,Skeleton with tenant/app chrome; no stale cross-tenant content; cancellable/retry-safe fetch.,Explains why no data exists and offers role-appropriate next action; no fake demo content.,Displays safe message with correlation_id; admin/coach details only in privileged surfaces.,Access denied state; explains missing permission/entitlement without leaking resource existence.,"Confirms action, updates projection or list, emits audit/telemetry where applicable.",screen_view; action_attempt; action_success/failure; correlation_id; tenant_id; actor_ref.,WCAG 2.2 AA target; keyboard reachable; visible focus; form errors tied to fields; no color-only state.,All reads/writes scoped by tenant_id + actor_ref; privileged support requires support_session_ref.
CS-019,Coach Studio,Revenue Dashboard,"Revenue, renewals and funnel",B-029|B-025,revenue_report_projection;renewal_trigger,/analytics/revenue;/renewals,Revenue Dashboard renders tenant-scoped actionable content with current projection timestamp.,Skeleton with tenant/app chrome; no stale cross-tenant content; cancellable/retry-safe fetch.,Explains why no data exists and offers role-appropriate next action; no fake demo content.,Displays safe message with correlation_id; admin/coach details only in privileged surfaces.,Access denied state; explains missing permission/entitlement without leaking resource existence.,"Confirms action, updates projection or list, emits audit/telemetry where applicable.",screen_view; action_attempt; action_success/failure; correlation_id; tenant_id; actor_ref.,WCAG 2.2 AA target; keyboard reachable; visible focus; form errors tied to fields; no color-only state.,All reads/writes scoped by tenant_id + actor_ref; privileged support requires support_session_ref.
CL-001,Client App,Onboarding Welcome,Client enters branded onboarding,B-008,onboarding_flow|onboarding_step|onboarding_submission,/onboarding-flows,Onboarding Welcome renders tenant-scoped actionable content with current projection timestamp.,Skeleton with tenant/app chrome; no stale cross-tenant content; cancellable/retry-safe fetch.,Explains why no data exists and offers role-appropriate next action; no fake demo content.,Displays safe message with correlation_id; admin/coach details only in privileged surfaces.,Access denied state; explains missing permission/entitlement without leaking resource existence.,"Confirms action, updates projection or list, emits audit/telemetry where applicable.",screen_view; action_attempt; action_success/failure; correlation_id; tenant_id; actor_ref.,WCAG 2.2 AA target; keyboard reachable; visible focus; form errors tied to fields; no color-only state.,All reads/writes scoped by tenant_id + actor_ref; privileged support requires support_session_ref.
