Incident ID,Title,Severity,Detection Signal,Primary Owner,Immediate Containment,Primary Admin Screens,Related Errors,Runbook File
INC_COMMUNITY_ABUSE_REPORT_SPIKE,Community receives abuse/spam report spike,SEV2,reports per tenant above threshold,Moderator + Tenant Admin,"Lock offending content, escalate severe abuse, apply moderation action, preserve evidence","Moderation Queue, Reported Content Detail",PB_ERR_COMMUNITY_MODERATION_REQUIRED|PB_ERR_COMMUNITY_POST_REJECTED,runbooks/INC_COMMUNITY_ABUSE_REPORT_SPIKE.md
INC_MODERATION_ESCALATION,Moderation requires platform intervention,SEV2,tenant moderator cannot resolve; policy violation severe,Incident Commander + Moderator,"Restrict content, capture evidence, coordinate platform decision","Incident Console, Moderation Queue",PB_ERR_COMMUNITY_MODERATION_REQUIRED|PB_ERR_INCIDENT_ESCALATION_REQUIRED,runbooks/INC_MODERATION_ESCALATION.md
INC_OUTBOX_LAG_HIGH,Outbox lag exceeds operational SLO,SEV2,outbox oldest pending age > SLO,Platform Admin,"Inspect worker, provider, DB locks; restart worker; DLQ if required",Outbox Monitor,PB_ERR_OUTBOX_PUBLISH_FAILED,runbooks/INC_OUTBOX_LAG_HIGH.md
INC_DLQ_BACKLOG_GROWING,Dead letter queue grows or contains critical event,SEV2,DLQ count above threshold or payment/access event DLQ,Platform Admin + Incident Commander,"Classify DLQ events, patch cause, replay only safe events","DLQ Event Detail, Replay Console",PB_ERR_DLQ_REPLAY_FORBIDDEN,runbooks/INC_DLQ_BACKLOG_GROWING.md
INC_EVENT_REPLAY_FAILURE,Replay request fails or causes conflict,SEV2,replay failure or idempotency conflict,Incident Commander,"Stop replay, inspect inbox/outbox state, reconcile projection manually",Replay Console,PB_ERR_PAYMENT_EVENT_DUPLICATE|PB_ERR_DLQ_REPLAY_FORBIDDEN|PB_ERR_REPLAY_IDEMPOTENCY_CONFLICT,runbooks/INC_EVENT_REPLAY_FAILURE.md
INC_DATA_LEAKAGE_SUSPECT,Possible exposure of client/tenant data,SEV1,user report; audit anomaly; tenant scope breach,Incident Commander + Security Reviewer,"Contain, preserve evidence, revoke sessions, assess data, notify per policy","Audit Explorer, Evidence Package",PB_ERR_DATA_EXPORT_FORBIDDEN,runbooks/INC_DATA_LEAKAGE_SUSPECT.md
INC_AUTH_RBAC_INCIDENT,Role assignment or auth boundary incorrect,SEV1,role forbidden spike or unauthorized access report,Security Reviewer + Platform Admin,"Freeze role changes, inspect role assignments, revoke invalid roles",Admin User/RBAC Console,PB_ERR_AUTH_REQUIRED,runbooks/INC_AUTH_RBAC_INCIDENT.md
INC_RLS_POLICY_REGRESSION,RLS policy behaves incorrectly,SEV1,tenant isolation test fails or audit anomaly,Security Reviewer,"Block deployment, run RLS smoke tests, rollback migration",Policy Violation Viewer,PB_ERR_REFLECTION_POLICY_DENIED|PB_ERR_SECURITY_POLICY_VIOLATION,runbooks/INC_RLS_POLICY_REGRESSION.md
INC_PROVIDER_INTEGRATION_DEGRADED,Provider adapter degraded: payment/calendar/notification/agreement,SEV3,provider health degraded,Platform Admin,Route to provider-specific runbook; communicate degraded function,Provider Integration Status,PB_ERR_AGREEMENT_PROVIDER_UNAVAILABLE|PB_ERR_NOTIFICATION_PROVIDER_FAILED|PB_ERR_CALENDAR_PROVIDER_UNAVAILABLE,runbooks/INC_PROVIDER_INTEGRATION_DEGRADED.md
INC_SYSTEM_AVAILABILITY,Project-B API unavailable or degraded,SEV1,health check fails; API latency/error budget burn,Incident Commander + Platform Admin,"Declare incident, stabilize API, rollback if required",Health / Dependency Status,see error catalog,runbooks/INC_SYSTEM_AVAILABILITY.md
INC_AUDIT_WRITE_DEGRADED,Audit writes failing or delayed,SEV1,audit_write_failed_total > 0 for mutations,Platform Admin + Security Reviewer,"Fail closed, stop mutating flows, restore audit store",Audit Log Explorer,PB_ERR_AUDIT_WRITE_FAILED,runbooks/INC_AUDIT_WRITE_DEGRADED.md
INC_ANALYTICS_PROJECTION_DRIFT,Analytics/revenue/progress projection inconsistent,SEV3,projection drift or stale analytics,Platform Admin + Tenant Admin,"Rebuild analytics projections, mark dashboard caveat",Analytics Quality Dashboard,PB_ERR_STALE_PROJECTION|PB_ERR_PROJECTION_REBUILD_FAILED,runbooks/INC_ANALYTICS_PROJECTION_DRIFT.md
